,as_number,date,ip_address,id,country,as_name
1107,14061,2022-01-05,67.207.95.35,1167_2022-01-05_14061_67.207.95.35,US,DIGITALOCEAN-ASN
1108,7713,2022-01-05,36.95.110.19,1075_2022-01-05_7713_36.95.110.19,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
1111,577,2022-01-07,74.15.2.252,1886_2022-01-07_577_74.15.2.252,CA,BACOM
1112,16276,2022-01-06,176.31.163.17,1511_2022-01-06_16276_176.31.163.17,FR,OVH
1113,6830,2022-01-10,89.101.97.139,2658_2022-01-10_6830_89.101.97.139,IE,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA"
1114,39819,2022-01-03,91.207.28.33,362_2022-01-03_39819_91.207.28.33,KG,PROHOST
1117,20115,2022-01-08,24.178.196.158,2194_2022-01-08_20115_24.178.196.158,US,CHARTER-20115
1118,47331,2022-01-06,81.214.126.173,1429_2022-01-06_47331_81.214.126.173,TR,TTNET
1122,42469,2022-01-08,194.1.193.11,2027_2022-01-08_42469_194.1.193.11,UA,ASKAD
1123,14061,2022-01-03,128.199.206.91,412_2022-01-03_14061_128.199.206.91,SG,DIGITALOCEAN-ASN
1124,35913,2022-01-04,103.124.107.109,960_2022-01-04_35913_103.124.107.109,US,DEDIPATH-LLC
1125,14061,2022-01-10,104.248.178.90,2608_2022-01-10_14061_104.248.178.90,US,DIGITALOCEAN-ASN
1126,27695,2022-01-09,191.103.252.193,2462_2022-01-09_27695_191.103.252.193,CO,EDATEL S.A. E.S.P
1127,5410,2022-01-09,31.35.28.29,2515_2022-01-09_5410_31.35.28.29,FR,BOUYGTEL-ISP
1128,52468,2022-01-07,190.61.46.106,1780_2022-01-07_52468_190.61.46.106,CO,UFINET PANAMA S.A.
1129,9121,2022-01-02,212.175.98.171,179_2022-01-02_9121_212.175.98.171,TR,TTNET
1130,48815,2022-01-02,212.112.86.37,138_2022-01-02_48815_212.112.86.37,IT,CRITICALCASE
1131,14061,2022-01-02,46.101.90.205,2_2022-01-02_14061_46.101.90.205,GB,DIGITALOCEAN-ASN
1132,13489,2022-01-04,181.129.167.82,710_2022-01-04_13489_181.129.167.82,CO,EPM Telecomunicaciones S.A. E.S.P.
1133,14080,2022-01-02,190.145.83.98,54_2022-01-02_14080_190.145.83.98,CO,Telmex Colombia S.A.
1134,14061,2022-01-09,128.199.192.135,2437_2022-01-09_14061_128.199.192.135,SG,DIGITALOCEAN-ASN
1136,16276,2022-01-05,51.210.242.234,1149_2022-01-05_16276_51.210.242.234,FR,OVH
1137,13124,2022-01-08,87.97.178.92,1954_2022-01-08_13124_87.97.178.92,BG,IBGC
1140,17995,2022-01-05,202.51.122.163,1136_2022-01-05_17995_202.51.122.163,ID,SOLUSINET-AS-ID PT iForte Global Internet
1141,51167,2022-01-06,178.238.236.59,1360_2022-01-06_51167_178.238.236.59,DE,CONTABO
1143,11071,2022-01-03,209.33.231.203,364_2022-01-03_11071_209.33.231.203,US,IW-ASN-11071
1144,14061,2022-01-06,67.207.95.35,1490_2022-01-06_14061_67.207.95.35,US,DIGITALOCEAN-ASN
1145,51167,2022-01-09,164.68.99.3,2417_2022-01-09_51167_164.68.99.3,DE,CONTABO
1146,14061,2022-01-04,107.170.64.97,706_2022-01-04_14061_107.170.64.97,US,DIGITALOCEAN-ASN
1148,3737,2022-01-02,50.29.166.232,131_2022-01-02_3737_50.29.166.232,US,AS-PTD
1150,262807,2022-01-06,186.250.48.117,1508_2022-01-06_262807_186.250.48.117,BR,Redfox Telecomunicacoes Ltda.
1151,267129,2022-01-06,45.229.162.233,1515_2022-01-06_267129_45.229.162.233,BR,NET+ TELECOM
1152,51407,2022-01-10,176.67.56.94,2850_2022-01-10_51407_176.67.56.94,PS,MADA-AS
1153,60771,2022-01-06,194.190.18.122,1387_2022-01-06_60771_194.190.18.122,RU,COMITEN-AS
1154,45298,2022-01-03,103.253.107.153,405_2022-01-03_45298_103.253.107.153,ID,"INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT"
1155,45899,2022-01-10,113.160.37.196,2615_2022-01-10_45899_113.160.37.196,VN,VNPT-AS-VN VNPT Corp
1156,27695,2022-01-10,186.159.12.18,2782_2022-01-10_27695_186.159.12.18,CO,EDATEL S.A. E.S.P
1158,134113,2022-01-04,103.52.135.61,757_2022-01-04_134113_103.52.135.61,BD,MCN-BD Kazi Sazzad Hossain TA Millennium Computers & Networking
1160,16276,2022-01-03,176.31.163.17,535_2022-01-03_16276_176.31.163.17,FR,OVH
1161,14061,2022-01-09,138.197.109.175,2352_2022-01-09_14061_138.197.109.175,US,DIGITALOCEAN-ASN
1162,134113,2022-01-07,103.52.135.61,1726_2022-01-07_134113_103.52.135.61,BD,MCN-BD Kazi Sazzad Hossain TA Millennium Computers & Networking
1163,14061,2022-01-04,139.59.14.223,941_2022-01-04_14061_139.59.14.223,IN,DIGITALOCEAN-ASN
1164,10796,2022-01-04,75.188.35.168,766_2022-01-04_10796_75.188.35.168,US,TWC-10796-MIDWEST
1165,131207,2022-01-07,96.9.77.56,1692_2022-01-07_131207_96.9.77.56,KH,"SINET-KH SINET, Cambodias specialist Internet and Telecom Service Provider."
1166,27855,2022-01-05,45.65.249.154,1201_2022-01-05_27855_45.65.249.154,PE,AXESAT S.A
1167,64425,2022-01-05,5.182.210.132,982_2022-01-05_64425_5.182.210.132,NL,SKB-ENTERPRISE
1168,12271,2022-01-07,98.0.159.122,1722_2022-01-07_12271_98.0.159.122,US,TWC-12271-NYC
1169,13489,2022-01-03,181.129.167.82,382_2022-01-03_13489_181.129.167.82,CO,EPM Telecomunicaciones S.A. E.S.P.
1171,1221,2022-01-04,149.135.101.20,925_2022-01-04_1221_149.135.101.20,AU,ASN-TELSTRA Telstra Corporation Ltd
1172,16276,2022-01-10,54.37.106.167,2603_2022-01-10_16276_54.37.106.167,FR,OVH
1173,34088,2022-01-06,151.106.39.36,1510_2022-01-06_34088_151.106.39.36,FR,GDY-FRANCE
1174,52663,2022-01-10,177.67.137.111,2584_2022-01-10_52663_177.67.137.111,BR,Turbo BSB Tecnologias em Rede Ltda.
1175,141911,2022-01-07,103.164.180.66,1654_2022-01-07_141911_103.164.180.66,ID,IDNIC-DISKOMINFO-BANGKALAN-AS-ID Dinas Komunikasi dan Informatika Kabupaten Bangkalan
1177,27695,2022-01-08,186.159.12.18,2161_2022-01-08_27695_186.159.12.18,CO,EDATEL S.A. E.S.P
1178,14061,2022-01-07,138.197.109.175,1729_2022-01-07_14061_138.197.109.175,US,DIGITALOCEAN-ASN
1179,43513,2022-01-05,94.140.114.201,1279_2022-01-05_43513_94.140.114.201,LV,NANO-AS
1180,8412,2022-01-09,81.223.127.86,2439_2022-01-09_8412_81.223.127.86,AT,TMA Magenta Telekom
1181,13489,2022-01-10,201.184.226.74,2784_2022-01-10_13489_201.184.226.74,CO,EPM Telecomunicaciones S.A. E.S.P.
1182,38763,2022-01-04,122.129.203.163,831_2022-01-04_38763_122.129.203.163,ID,CYBERBINTAN-AS-ID PT. Cyber Bintan
1183,46606,2022-01-05,162.214.50.39,1268_2022-01-05_46606_162.214.50.39,US,UNIFIEDLAYER-AS-1
1185,15435,2022-01-07,136.143.11.232,1760_2022-01-07_15435_136.143.11.232,NL,KABELFOON DELTA Fiber Nederland
1186,30036,2022-01-02,173.21.10.71,126_2022-01-02_30036_173.21.10.71,US,MEDIACOM-ENTERPRISE-BUSINESS
1187,28006,2022-01-10,190.214.21.14,2785_2022-01-10_28006_190.214.21.14,EC,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
1188,13124,2022-01-10,95.140.217.242,2779_2022-01-10_13124_95.140.217.242,BG,A1
1189,20473,2022-01-09,216.238.72.121,2394_2022-01-09_20473_216.238.72.121,MX,AS-CHOOPA
1190,16276,2022-01-06,51.178.186.134,1481_2022-01-06_16276_51.178.186.134,FR,OVH
1191,45298,2022-01-09,103.253.107.198,2317_2022-01-09_45298_103.253.107.198,ID,"INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT"
1192,56300,2022-01-08,158.140.143.54,2177_2022-01-08_56300_158.140.143.54,SG,MYREPUBLIC-SG MyRepublic Ltd.
1193,271799,2022-01-03,177.52.221.73,576_2022-01-03_271799_177.52.221.73,DO,"TELERY NETWORKS, S.R.L"
1196,207992,2022-01-04,194.9.172.107,918_2022-01-04_207992_194.9.172.107,FR,FEELB
1197,22047,2022-01-04,190.45.79.111,965_2022-01-04_22047_190.45.79.111,CL,VTR BANDA ANCHA S.A.
1198,36926,2022-01-04,154.79.251.172,670_2022-01-04_36926_154.79.251.172,KE,CKL1-ASN
1199,7713,2022-01-02,36.89.98.183,75_2022-01-02_7713_36.89.98.183,ID,TELKOMNET-AS-AP PT Telekomunikasi Indonesia
1200,26277,2022-01-04,216.108.227.55,717_2022-01-04_26277_216.108.227.55,US,PREMIANET
1201,14061,2022-01-05,159.65.3.147,1079_2022-01-05_14061_159.65.3.147,SG,DIGITALOCEAN-ASN
1202,11260,2022-01-08,24.222.20.254,2200_2022-01-08_11260_24.222.20.254,CA,EASTLINK-HSI
1203,43513,2022-01-04,94.140.114.201,956_2022-01-04_43513_94.140.114.201,LV,NANO-AS
1204,265491,2022-01-06,170.78.0.135,1557_2022-01-06_265491_170.78.0.135,BR,ARP TELECOM COMUNICACOES LTDA ME
1206,20115,2022-01-09,68.186.192.69,2366_2022-01-09_20115_68.186.192.69,US,CHARTER-20115
1208,7922,2022-01-09,67.165.206.193,2364_2022-01-09_7922_67.165.206.193,US,COMCAST-7922
1209,262282,2022-01-05,177.52.26.233,1198_2022-01-05_262282_177.52.26.233,BR,MARIA LUCIANA MACHADO E CIA LTDA-ME
1210,6830,2022-01-09,89.101.97.139,2353_2022-01-09_6830_89.101.97.139,IE,"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA"
1212,141995,2022-01-05,194.233.68.48,1235_2022-01-05_141995_194.233.68.48,SG,CAPL-AS-AP Contabo Asia Private Limited
1213,52663,2022-01-03,177.67.137.111,356_2022-01-03_52663_177.67.137.111,BR,Turbo BSB Tecnologias em Rede Ltda.
1214,31133,2022-01-07,31.173.137.47,1720_2022-01-07_31133_31.173.137.47,RU,MF-MGSM-AS PJSC MegaFon
1215,27695,2022-01-03,190.109.169.161,556_2022-01-03_27695_190.109.169.161,CO,EDATEL S.A. E.S.P
1216,136883,2022-01-04,103.109.247.13,712_2022-01-04_136883_103.109.247.13,ID,IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya
1219,16735,2022-01-08,200.233.192.111,2147_2022-01-08_16735_200.233.192.111,BR,ALGAR TELECOM SA
1220,13489,2022-01-03,201.184.226.74,564_2022-01-03_13489_201.184.226.74,CO,EPM Telecomunicaciones S.A. E.S.P.
1221,133592,2022-01-10,103.139.242.30,2858_2022-01-10_133592_103.139.242.30,IN,SPCTRM-AS-IN Spectram Telecom Pvt Ltd
1222,46606,2022-01-08,162.214.106.107,1979_2022-01-08_46606_162.214.106.107,US,UNIFIEDLAYER-AS-1
