"id","as_name","as_number","country","date","ip_address"
"907_2022-01-04_56300_158.140.143.54","MYREPUBLIC-SG MyRepublic Ltd.","56300","SG","2022-01-04","158.140.143.54"
"2636_2022-01-10_42469_194.1.193.11","ASKAD","42469","UA","2022-01-10","194.1.193.11"
"1905_2022-01-07_14061_159.65.1.71","DIGITALOCEAN-ASN","14061","SG","2022-01-07","159.65.1.71"
"1756_2022-01-07_209_65.100.174.110","CENTURYLINK-US-LEGACY-QWEST","209","US","2022-01-07","65.100.174.110"
"2596_2022-01-10_28166_200.236.218.62","Telecom South America SA","28166","BR","2022-01-10","200.236.218.62"
"2662_2022-01-10_33363_68.204.7.158","BHN-33363","33363","US","2022-01-10","68.204.7.158"
"117_2022-12-23_4804_27.99.45.237","MPX-AS Microplex PTY LTD","4804","AU","2022-12-23","27.99.45.237"
"814_2022-01-04_137478_202.144.203.140","CYBER-AS-AP Cyber Net Cafe","137478","BD","2022-01-04","202.144.203.140"
"50_2022-12-24_55836_136.232.184.134","RELIANCEJIO-IN Reliance Jio Infocomm Limited","55836","IN","2022-12-24","136.232.184.134"
"2301_2022-01-09_14061_107.170.64.97","DIGITALOCEAN-ASN","14061","US","2022-01-09","107.170.64.97"
"491_2022-01-03_264776_168.197.250.14","Omar Anselmo Ripoll TDC NET","264776","AR","2022-01-03","168.197.250.14"
"2066_2022-01-08_12874_93.48.58.123","FASTWEB","12874","IT","2022-01-08","93.48.58.123"
"1755_2022-01-07_209_65.100.174.110","CENTURYLINK-US-LEGACY-QWEST","209","US","2022-01-07","65.100.174.110"
"45_2022-01-02_52663_177.67.137.111","Turbo BSB Tecnologias em Rede Ltda.","52663","BR","2022-01-02","177.67.137.111"
"728_2022-01-04_63989_103.82.248.59","DE-CORP DE-CORP","63989","TH","2022-01-04","103.82.248.59"
"1659_2022-01-07_46606_162.214.188.105","UNIFIEDLAYER-AS-1","46606","US","2022-01-07","162.214.188.105"
"227_2022-12-23_1267_91.254.132.23","ASN-WINDTRE IUNET","1267","IT","2022-12-23","91.254.132.23"
"2810_2022-01-10_46690_32.221.229.7","SNET-FCC","46690","US","2022-01-10","32.221.229.7"
"1712_2022-01-07_3462_122.117.90.133","HINET Data Communication Business Group","3462","TW","2022-01-07","122.117.90.133"
"2082_2022-01-08_12353_94.60.254.81","VODAFONE-PT Vodafone Portugal","12353","PT","2022-01-08","94.60.254.81"
"127_2022-12-24_16276_146.59.116.25","OVH","16276","FR","2022-12-24","146.59.116.25"
"1709_2022-01-07_18734_201.148.20.37","""Operbes, S.A. de C.V.""","18734","MX","2022-01-07","201.148.20.37"
"788_2022-01-04_14061_198.199.98.78","DIGITALOCEAN-ASN","14061","US","2022-01-04","198.199.98.78"
"870_2022-01-04_27695_186.159.4.217","EDATEL S.A. E.S.P","27695","CO","2022-01-04","186.159.4.217"
"55_2022-12-21_20001_198.2.51.242","TWC-20001-PACWEST","20001","US","2022-12-21","198.2.51.242"
"1391_2022-01-06_18734_201.148.20.37","""Operbes, S.A. de C.V.""","18734","MX","2022-01-06","201.148.20.37"
"2622_2022-01-10_14280_204.174.223.210","NETNATION","14280","CA","2022-01-10","204.174.223.210"
"2264_2022-01-09_36926_154.79.244.182","CKL1-ASN","36926","KE","2022-01-09","154.79.244.182"
"130_2022-12-21_7018_12.172.173.82","ATT-INTERNET4","7018","US","2022-12-21","12.172.173.82"
"191_2022-01-02_133275_103.36.126.221","GIGANTIC-AS Gigantic Infotel Pvt Ltd","133275","IN","2022-01-02","103.36.126.221"
"2226_2022-01-08_58405_180.233.150.134","""UNITEDTELECOMS-IN 18A19,DODDANEKUNDI""","58405","IN","2022-01-08","180.233.150.134"
"2227_2022-01-08_852_75.156.151.34","TELUS Communications","852","CA","2022-01-08","75.156.151.34"
"205_2022-12-23_213373_45.141.58.139","IPCONNECT","213373","SC","2022-12-23","45.141.58.139"
"855_2022-01-04_9318_116.124.128.206","SKB-AS SK Broadband Co Ltd","9318","KR","2022-01-04","116.124.128.206"
"352_2022-01-03_55769_144.48.139.206","""SEATELECOM-KH SOUTH EAST ASIA TELECOM (Cambodia) Co., LTD""","55769","KH","2022-01-03","144.48.139.206"
"1902_2022-01-07_7029_40.134.247.125","WINDSTREAM","7029","US","2022-01-07","40.134.247.125"
"454_2022-01-03_16276_51.83.3.52","OVH","16276","FR","2022-01-03","51.83.3.52"
"1772_2022-01-07_209_75.169.58.229","CENTURYLINK-US-LEGACY-QWEST","209","US","2022-01-07","75.169.58.229"
"989_2022-01-05_701_108.55.14.158","UUNET","701","US","2022-01-05","108.55.14.158"
"2219_2022-01-08_39798_5.181.156.16","MIVOCLOUD","39798","MD","2022-01-08","5.181.156.16"
"2674_2022-01-10_3737_50.29.166.232","AS-PTD","3737","US","2022-01-10","50.29.166.232"
"963_2022-01-04_58405_180.233.150.134","""UNITEDTELECOMS-IN 18A19,DODDANEKUNDI""","58405","IN","2022-01-04","180.233.150.134"
"58_2022-12-24_6327_50.68.204.71","SHAW","6327","CA","2022-12-24","50.68.204.71"
"137_2022-12-23_7018_12.172.173.82","ATT-INTERNET4","7018","US","2022-12-23","12.172.173.82"
"98_2022-01-02_16125_5.199.162.48","CHERRYSERVERS1-AS","16125","LT","2022-01-02","5.199.162.48"
